EXP_INFO, , ,PID,804800, , , , ,"train.py --config ckpt/0501/07_base00_vx1000/config.yaml -c ckpt/0501/07_base00_vx1000/ -gpu 6,7 -bs 256 -vertex_x1000", , ,Checkpoint,ckpt/0501/07_base00_vx1000/, , ,Config,ckpt/0501/07_base00_vx1000/config.yaml, , 
 , , , , , , , , , , , , , , , , , , , 
Epoch,lr,JOINT,MESH,ALL,H36M_MESH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,PE, , , , , , , , , ,MP, , , , , , , , , ,FPE, , , , , , , , , ,MC, , , , , , ,MIB, , , , , , 
 , , , , ,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j
77,0.00009318,0.31232,281.44432,281.75664,64.83,65.81,64.5,64.45,66.13,81.29,67.53,41.5,62.21,38.42,88.32,39.01,75.09,107.15,127.47,116.35,94.43,60.54,85.84,55.67,112.01,73.02,99.88,124.8,150.78,144.6,119.42,74.47,108.45,68.36,63.12,63.12,60.29,42.46,36.86,38.56,33.58,31.61,31.61,37.81,27.93,19.18,26.11,17.93
79,0.00009132,0.31067,280.31644,280.62710,63.88,64.76,63.54,63.49,65.38,80.63,67.05,41.3,61.92,38.14,87.63,37.04,74.01,106.97,127.97,116.05,94.13,60.27,85.52,55.42,111.22,72.58,99.69,125.06,146.12,144.65,119.63,73.83,108.78,67.75,63.17,63.17,60.05,42.23,39.07,38.23,35.53,28.97,28.97,35.02,25.75,19.25,24.06,18.06
81,0.00008950,0.30932,279.31572,279.62504,65.68,66.55,65.35,65.36,66.95,83.29,69.28,42.38,63.93,39.16,89.59,40.34,76.17,108.59,128.98,117.89,96.21,60.63,87.53,55.8,113.85,75.08,101.83,127.02,151.75,146.85,121.73,75.17,110.62,69.01,64.74,64.74,61.04,44.05,37.81,40.0,34.4,30.2,30.2,37.69,28.07,19.11,26.28,17.92
83,0.00008772,0.30898,278.94433,279.25332,61.92,62.86,61.61,61.48,63.37,80.6,66.84,41.43,61.65,38.32,86.83,35.71,73.31,106.4,126.92,116.89,94.86,60.47,86.17,55.64,110.82,71.29,98.96,124.36,148.43,145.88,120.55,74.48,109.52,68.4,60.64,60.64,58.37,41.1,36.93,37.21,33.54,26.59,26.59,35.51,26.08,18.61,24.34,17.48
85,0.00008598,0.30761,278.00056,278.30817,60.93,62.03,60.6,60.46,62.28,80.62,66.98,41.87,61.67,38.72,86.18,34.51,72.72,105.88,126.25,116.81,94.7,60.55,86.21,55.77,109.94,69.07,97.53,124.3,148.09,146.23,120.73,74.9,109.64,68.82,60.29,60.29,60.03,42.08,37.08,38.18,33.77,25.68,25.68,36.4,26.65,18.83,24.93,17.7
87,0.00008427,0.30945,279.08400,279.39346,63.48,64.33,63.11,63.13,64.92,80.01,66.27,41.01,61.15,37.92,88.31,35.98,74.97,108.14,128.64,117.71,95.58,60.29,86.93,55.57,113.15,71.91,101.12,126.92,152.37,146.29,120.77,74.44,109.82,68.46,60.42,60.42,57.44,39.94,36.3,36.09,32.97,27.28,27.28,34.69,25.23,18.25,23.59,17.16
89,0.00008259,0.30468,275.83234,276.13702,61.21,62.31,60.88,60.81,62.52,80.61,67.26,40.93,62.05,37.88,85.67,33.77,72.08,105.45,126.05,116.68,94.84,60.67,86.28,55.8,109.8,69.21,97.79,123.31,149.41,144.63,119.67,74.18,108.8,68.13,59.92,59.92,57.99,40.58,36.71,36.76,33.28,24.74,24.74,35.38,25.86,18.28,24.24,17.09
91,0.00008095,0.30491,275.80793,276.11285,61.46,62.48,61.23,61.01,62.66,79.7,66.45,41.19,61.33,37.98,85.53,34.4,71.86,104.98,126.18,116.41,94.38,60.78,85.75,55.85,109.24,69.37,97.17,122.93,147.05,144.18,118.97,74.02,108.12,67.87,60.62,60.62,58.57,41.28,37.04,37.36,33.52,26.07,26.07,35.61,26.04,19.05,24.3,17.7
93,0.00007934,0.30333,274.73173,275.03507,63.88,65.33,63.65,63.33,64.78,82.03,67.86,41.45,62.69,38.33,86.97,35.65,73.22,106.69,127.33,117.76,95.34,61.22,86.76,56.31,114.09,71.3,99.37,127.28,160.08,146.94,120.99,74.75,110.08,68.56,61.29,61.29,59.4,41.19,36.59,37.4,33.21,28.59,28.59,37.11,27.09,19.09,25.39,17.91
95,0.00007776,0.30534,276.15444,276.45978,63.27,64.54,63.02,62.73,64.57,82.48,69.01,41.77,63.71,38.65,86.75,34.64,73.11,106.64,127.4,117.34,95.34,60.68,86.77,55.91,111.87,71.11,99.5,125.82,150.75,147.96,122.37,75.42,111.4,69.37,59.27,59.27,57.06,39.82,35.63,36.04,32.34,26.02,26.02,34.82,25.44,18.1,23.83,16.94
